,empo_1,empo_2,empo_3
training_0,Free-living,Non-saline,Water (non-saline)
training_1,Free-living,Non-saline,Water (non-saline)
training_2,Free-living,Non-saline,Soil (non-saline)
training_3,Free-living,Saline,Sediment (saline)
training_4,Free-living,Non-saline,Soil (non-saline)
training_5,Free-living,Non-saline,Water (non-saline)
training_6,Free-living,Non-saline,Water (non-saline)
training_7,Host-associated,Animal,Animal surface
training_8,Free-living,Non-saline,Surface (non-saline)
training_9,Free-living,Non-saline,Water (non-saline)
training_10,Free-living,Non-saline,Soil (non-saline)
training_11,Free-living,Non-saline,Soil (non-saline)
training_12,Host-associated,Animal,Animal distal gut
training_13,Free-living,Non-saline,Water (non-saline)
training_14,Host-associated,Animal,Animal distal gut
training_15,Free-living,Non-saline,Water (non-saline)
training_16,Free-living,Non-saline,Soil (non-saline)
training_17,Free-living,Non-saline,Soil (non-saline)
training_18,Free-living,Non-saline,Soil (non-saline)
training_19,Host-associated,Animal,Animal corpus
training_20,Host-associated,Animal,Animal distal gut
training_21,Free-living,Non-saline,Soil (non-saline)
training_22,Free-living,Non-saline,Soil (non-saline)
training_23,Free-living,Non-saline,Soil (non-saline)
training_24,Host-associated,Plant,Plant surface
training_25,Host-associated,Animal,Animal distal gut
training_26,Host-associated,Animal,Animal surface
training_27,Free-living,Saline,Water (saline)
training_28,Host-associated,Animal,Animal surface
training_29,Free-living,Non-saline,Water (non-saline)
training_30,Host-associated,Plant,Plant surface
training_31,Host-associated,Animal,Animal distal gut
training_32,Free-living,Saline,Water (saline)
training_33,Host-associated,Animal,Animal surface
training_34,Free-living,Saline,Sediment (saline)
training_35,Free-living,Non-saline,Surface (non-saline)
training_36,Free-living,Saline,Water (saline)
training_37,Host-associated,Animal,Animal distal gut
training_38,Host-associated,Animal,Animal surface
training_39,Free-living,Non-saline,Soil (non-saline)
training_40,Host-associated,Animal,Animal secretion
training_41,Free-living,Non-saline,Soil (non-saline)
training_42,Host-associated,Animal,Animal surface
training_43,Free-living,Non-saline,Water (non-saline)
training_44,Free-living,Non-saline,Soil (non-saline)
training_45,Free-living,Saline,Water (saline)
training_46,Free-living,Non-saline,Water (non-saline)
training_47,Host-associated,Animal,Animal surface
training_48,Host-associated,Animal,Animal surface
training_49,Free-living,Non-saline,Soil (non-saline)
training_50,Host-associated,Plant,Plant surface
training_51,Host-associated,Animal,Animal distal gut
training_52,Host-associated,Animal,Animal surface
training_53,Free-living,Non-saline,Soil (non-saline)
training_54,Host-associated,Animal,Animal surface
training_55,Host-associated,Animal,Animal secretion
training_56,Free-living,Non-saline,Soil (non-saline)
training_57,Free-living,Saline,Water (saline)
training_58,Host-associated,Animal,Animal surface
training_59,Host-associated,Animal,Animal surface
training_60,Free-living,Saline,Sediment (saline)
training_61,Free-living,Saline,Water (saline)
training_62,Host-associated,Animal,Animal surface
training_63,Host-associated,Animal,Animal distal gut
training_64,Host-associated,Animal,Animal surface
training_65,Host-associated,Animal,Animal surface
training_66,Free-living,Non-saline,Soil (non-saline)
training_67,Host-associated,Animal,Animal secretion
training_68,Host-associated,Animal,Animal secretion
training_69,Free-living,Non-saline,Soil (non-saline)
training_70,Free-living,Non-saline,Water (non-saline)
training_71,Host-associated,Plant,Plant surface
training_72,Host-associated,Animal,Animal surface
training_73,Host-associated,Animal,Animal distal gut
training_74,Free-living,Non-saline,Sediment (non-saline)
training_75,Free-living,Non-saline,Water (non-saline)
training_76,Free-living,Non-saline,Soil (non-saline)
training_77,Host-associated,Animal,Animal distal gut
training_78,Free-living,Non-saline,Soil (non-saline)
training_79,Free-living,Saline,Sediment (saline)
training_80,Host-associated,Plant,Plant rhizosphere
training_81,Free-living,Non-saline,Water (non-saline)
training_82,Free-living,Non-saline,Surface (non-saline)
training_83,Host-associated,Animal,Animal distal gut
training_84,Free-living,Non-saline,Water (non-saline)
training_85,Free-living,Non-saline,Surface (non-saline)
training_86,Free-living,Non-saline,Soil (non-saline)
training_87,Host-associated,Animal,Animal surface
training_88,Host-associated,Plant,Plant surface
training_89,Free-living,Non-saline,Soil (non-saline)
training_90,Free-living,Saline,Water (saline)
training_91,Host-associated,Animal,Animal distal gut
training_92,Host-associated,Animal,Animal distal gut
training_93,Host-associated,Plant,Plant corpus
training_94,Free-living,Non-saline,Surface (non-saline)
training_95,Host-associated,Plant,Plant surface
training_96,Free-living,Non-saline,Soil (non-saline)
training_97,Host-associated,Plant,Plant surface
training_98,Free-living,Non-saline,Water (non-saline)
training_99,Free-living,Non-saline,Soil (non-saline)
training_100,Host-associated,Plant,Plant surface
training_101,Host-associated,Animal,Animal distal gut
training_102,Free-living,Non-saline,Water (non-saline)
training_103,Host-associated,Animal,Animal distal gut
training_104,Host-associated,Animal,Animal distal gut
training_105,Host-associated,Animal,Animal distal gut
training_106,Free-living,Non-saline,Water (non-saline)
training_107,Host-associated,Animal,Animal surface
training_108,Free-living,Non-saline,Water (non-saline)
training_109,Host-associated,Plant,Plant rhizosphere
training_110,Free-living,Non-saline,Soil (non-saline)
training_111,Free-living,Non-saline,Water (non-saline)
training_112,Host-associated,Animal,Animal distal gut
training_113,Free-living,Non-saline,Soil (non-saline)
training_114,Free-living,Non-saline,Sediment (non-saline)
training_115,Host-associated,Plant,Plant surface
training_116,Host-associated,Animal,Animal distal gut
training_117,Host-associated,Plant,Plant surface
training_118,Host-associated,Animal,Animal distal gut
training_119,Free-living,Non-saline,Water (non-saline)
training_120,Host-associated,Animal,Animal distal gut
training_121,Host-associated,Plant,Plant surface
training_122,Free-living,Non-saline,Water (non-saline)
training_123,Free-living,Non-saline,Water (non-saline)
training_124,Free-living,Non-saline,Soil (non-saline)
training_125,Host-associated,Animal,Animal distal gut
training_126,Host-associated,Animal,Animal surface
training_127,Host-associated,Animal,Animal surface
training_128,Free-living,Non-saline,Soil (non-saline)
training_129,Free-living,Non-saline,Surface (non-saline)
training_130,Free-living,Non-saline,Soil (non-saline)
training_131,Host-associated,Animal,Animal secretion
training_132,Host-associated,Animal,Animal surface
training_133,Host-associated,Plant,Plant surface
training_134,Free-living,Non-saline,Soil (non-saline)
training_135,Host-associated,Animal,Animal surface
training_136,Free-living,Saline,Surface (saline)
training_137,Free-living,Non-saline,Sediment (non-saline)
training_138,Host-associated,Animal,Animal surface
training_139,Free-living,Non-saline,Surface (non-saline)
training_140,Free-living,Non-saline,Soil (non-saline)
training_141,Free-living,Saline,Surface (saline)
training_142,Free-living,Saline,Sediment (saline)
training_143,Host-associated,Animal,Animal corpus
training_144,Host-associated,Animal,Animal distal gut
training_145,Free-living,Non-saline,Water (non-saline)
training_146,Free-living,Non-saline,Soil (non-saline)
training_147,Host-associated,Animal,Animal corpus
training_148,Free-living,Non-saline,Soil (non-saline)
training_149,Host-associated,Animal,Animal distal gut
training_150,Host-associated,Animal,Animal distal gut
training_151,Host-associated,Animal,Animal surface
training_152,Free-living,Non-saline,Soil (non-saline)
training_153,Host-associated,Animal,Animal surface
training_154,Free-living,Non-saline,Soil (non-saline)
training_155,Host-associated,Animal,Animal surface
training_156,Host-associated,Animal,Animal distal gut
training_157,Free-living,Non-saline,Surface (non-saline)
training_158,Host-associated,Animal,Animal surface
training_159,Host-associated,Animal,Animal distal gut
training_160,Host-associated,Animal,Animal distal gut
training_161,Host-associated,Animal,Animal distal gut
training_162,Free-living,Non-saline,Water (non-saline)
training_163,Free-living,Saline,Water (saline)
training_164,Free-living,Non-saline,Sediment (non-saline)
training_165,Free-living,Non-saline,Water (non-saline)
training_166,Host-associated,Animal,Animal surface
training_167,Host-associated,Animal,Animal distal gut
training_168,Free-living,Non-saline,Soil (non-saline)
training_169,Free-living,Non-saline,Water (non-saline)
training_170,Host-associated,Animal,Animal surface
training_171,Free-living,Non-saline,Water (non-saline)
training_172,Free-living,Non-saline,Water (non-saline)
training_173,Free-living,Saline,Water (saline)
training_174,Host-associated,Animal,Animal surface
training_175,Host-associated,Animal,Animal distal gut
training_176,Host-associated,Animal,Animal surface
training_177,Free-living,Non-saline,Soil (non-saline)
training_178,Host-associated,Animal,Animal surface
training_179,Free-living,Non-saline,Sediment (non-saline)
training_180,Free-living,Saline,Surface (saline)
training_181,Host-associated,Animal,Animal surface
training_182,Free-living,Non-saline,Soil (non-saline)
training_183,Host-associated,Animal,Animal secretion
training_184,Free-living,Non-saline,Soil (non-saline)
training_185,Host-associated,Animal,Animal distal gut
training_186,Host-associated,Animal,Animal distal gut
training_187,Free-living,Non-saline,Soil (non-saline)
training_188,Host-associated,Animal,Animal distal gut
training_189,Free-living,Non-saline,Sediment (non-saline)
training_190,Free-living,Non-saline,Soil (non-saline)
training_191,Host-associated,Animal,Animal distal gut
training_192,Free-living,Non-saline,Water (non-saline)
training_193,Free-living,Non-saline,Soil (non-saline)
training_194,Free-living,Non-saline,Soil (non-saline)
training_195,Host-associated,Animal,Animal surface
